Country,Continent,Claiming government benefits to which you are not entitled,Avoiding a fare on public transport,Cheating on taxes,Buy stolen goods,Someone accepting a bribe,Homosexuality,Prostitution,Abortion,Divorce,Suicide
India,Asia,1.78,1.46,1.49,1.44,1.41,1.2,1.51,3.38,2.69,1.58
Turkey,Asia,1.52,1.96,1.24,1.32,1.2,1.57,1.66,4.2,5.03,1.65
Chile,America,4.06,3.14,1.86,1.48,1.45,1.83,1.8,1.82,3.51,1.69
Argentina,America,1.88,2.1,1.64,1.3,1.1,2.95,2.14,3.4,5.77,1.7
Nigeria,Africa,2.05,2.42,2.23,1.9,2.07,1.8,2.17,2.69,3.27,1.83
Russia,Asia,2.12,2.76,2.89,1.65,1.44,1.41,1.77,4.54,4.79,2.24
United States,America,1.92,2.14,1.92,1.58,1.48,3.07,2.39,4,4.91,2.25
Spain,Europa,2.13,2.12,2.31,1.62,1.38,4.44,3.56,4.74,5.98,2.28
China,Asia,1.7,1.58,1.54,1.74,1.34,1.2,1.21,4.89,4.76,2.6
Japan,Asia,1.99,1.52,1.48,1.45,1.79,2.45,1.87,3.71,4.93,2.7
Mexico,America,4.92,1.52,1.48,1.45,2.75,2.89,3.17,3.81,4.83,2.7
Belarus,Europa,2.73,3.08,3.34,2.3,2.03,1.93,2.36,4.65,5.03,2.78
Brazil,America,2.73,3.08,3.34,2.3,2.03,1.93,2.36,4.65,5.03,2.78
Canada,America,1.9,2.15,2.4,1.81,1.63,4.07,3.39,4.93,5.57,2.85
Switzerland,Europa,1.88,1.7,2.34,1.39,1.53,4.23,3.7,3.23,4.77,2.98
Sweden,Europa,1.63,2,2.47,1.38,1.63,4.53,2.15,5.37,6.33,3.35
