Country,Continent,Claiming government benefits to which you are not entitled,Avoiding a fare on public transport,Cheating on taxes,Someone accepting a bribe,Homosexuality,Prostitution,Abortion,Divorce,Suicide
Jordan,Asia,2.7,1.9,1.83,1.13,1.02,1.01,1.21,2.22,1.06
Georgia,Europa,1.81,1.81,1.68,1.31,1.15,1.16,2.57,3.73,1.11
Indonesia,Asia,2.14,1.6,1.57,1.41,1.35,1.4,1.49,2.96,1.28
Ethiopia,Africa,2,2.1,1.46,1.47,1.51,1.96,2.29,2.86,1.46
Iran,Asia,3.64,2.67,2.03,1.76,1.52,1.54,2.31,3.13,1.73
Brazil,America,2.72,3.94,3.62,1.86,4.24,3.12,2.43,5.63,1.8
China,Asia,3.51,2.03,2,1.71,1.62,1.43,2.09,2.7,1.86
Ghana,Africa,2.38,2.69,1,2.41,1.76,2.03,2.18,2.78,1.97
Great Britain,Europa,2.38,2.69,1,2.41,1.76,2.03,2.18,2.78,1.97
Moldova,Europa,3.27,3.39,3.55,2.26,2.33,2.39,3.18,4.5,2.04
Italy,Europa,1.62,2.09,2.18,1.32,3.34,2.43,3.54,5.04,2.07
Cyprus,Europa,2.6,2.03,2.21,1.86,3.88,2.62,3.87,5.85,2.17
Guatemala,Africa,3.38,3.73,2.5,2.33,3.12,2.81,2.26,4.7,2.17
Argentina,America,3.57,2.51,1.67,1.43,5.3,4.14,3.18,6.51,2.26
Hong Kong,Asia,2.8,2.05,1.95,1.75,3.62,3.17,3.54,4.8,2.28
Chile,America,4.26,3.71,1.89,1.67,4.86,3.53,2.64,5.96,2.3
Netherlands,Europa,2.65,2.04,2.52,1.54,7.18,5.58,5.53,6.43,2.31
New Zealand,Oceania,2.65,2.06,2.52,1.45,1.76,2.31,5.27,6.66,2.31
Norway,Europa,2.65,2.28,2.52,1.52,1.76,2.31,6.71,7.25,2.31
Poland,Europa,2.65,2.49,2.52,1.37,1.76,2.31,3,4.67,2.31
Romania,Europa,2.65,2.01,2.52,1.45,1.76,2.31,3.29,4.22,2.31
Rwanda,Africa,2.65,2.02,2.52,2.22,1.76,2.31,1.74,2.87,2.31
Serbia,Europa,2.65,4.5,2.52,4.66,1.76,2.31,4.79,5.01,2.31
Slovenia,Europa,2.65,3.22,2.52,1.86,1.76,2.31,6.17,6.96,2.31
Spain,Europa,2.65,2.4,2.52,1.82,1.76,2.31,5.52,7.09,2.31
Sweden,Europa,2.65,2.68,2.52,1.97,1.76,2.31,7.85,8.38,2.31
Switzerland,Europa,2.65,1.81,2.52,1.49,1.76,2.31,5.53,6.89,2.31
Taiwan,Asia,2.65,1.81,2.52,1.49,1.76,2.31,5.53,6.89,2.31
Thailand,Asia,2.65,3.43,2.52,2.84,1.76,2.31,2.46,3.3,2.31
Trinidad and Tobago,America,2.65,3.11,2.52,1.79,1.76,2.31,2.31,3.58,2.31
Turkey,Asia,2.65,1.83,2.52,1.29,1.76,2.31,2.33,3.43,2.31
Ukraine,Europa,2.65,3.84,2.52,2.46,1.76,2.31,3.85,4.89,2.31
United States,America,2.65,2.6,2.52,1.71,1.76,2.31,2.44,5.83,2.31
Hungary,Europa,1.7,2.75,2.02,2.29,4.21,3.13,4.73,5.81,2.32
Bulgaria,Europa,2.15,2.38,2.43,1.91,4.08,2.98,5.63,6.37,2.49
Burkina Faso,Africa,2.15,2.38,2.43,1.91,4.08,2.98,5.63,6.37,2.49
Mexico,America,4.09,4.31,2.62,2.44,4.53,3.89,3.16,5.25,2.56
Canada,America,1.86,2.3,1.91,1.57,5.7,3.27,4.67,5.95,2.77
Zambia,Africa,3.32,2.39,3.66,1.65,2.62,3.18,3.19,6.4,2.82
Japan,Asia,2.09,1.58,1.46,1.54,4.77,2.03,4.59,6.45,2.88
Malaysia,Asia,4.08,3.69,3.53,3.2,3.02,2.98,2.98,3.58,2.97
Uruguay,Africa,2.41,2.39,1.98,1.81,5.66,5.13,4.49,7.08,3
Australia,Oceania,1.76,2.31,2.04,1.49,5.64,4.62,5.65,6.66,3.2
Finland,Europa,2.06,2.27,2.14,1.59,5.94,3.13,5.49,6.77,3.26
Mali,Africa,3.32,3.19,3.32,3.18,2.87,3.26,3.44,4.65,3.36
India,Asia,3.06,3.27,3.03,2.97,3.02,3.1,3.25,3.91,3.38
Andorra,Europa,2.76,2.85,2.47,1.4,8.16,5.61,6.97,8.72,3.71
France,Europa,3.15,2.8,2.83,2.18,6.46,3.36,6.48,6.86,3.76
